generation,evaluations,best_mcc,mean_mcc,minimum_mcc,maximum_mcc,selected_descriptors,unique_subsets_evaluated,elapsed_minutes
0,40,0.7066303878989797,0.6970882369036715,0.6889790342533595,0.7066303878989797,337,40,10.900839547316233
1,37,0.7066303878989797,0.6989217883883141,0.6896919279117987,0.7066303878989797,337,76,20.677750992774964
2,39,0.7083629161368464,0.7007089933716957,0.6925999037577428,0.7083629161368464,309,114,31.1396431406339
3,35,0.7089384934179539,0.7016575733616891,0.6910220081943196,0.7089384934179539,341,147,40.16870780388514
4,28,0.7129463092041961,0.7034410713599627,0.6980436601039495,0.7129463092041961,316,172,47.11938048601151
5,37,0.7129463092041961,0.7037302282046478,0.6972984941880027,0.7129463092041961,316,202,55.38605225880941
6,37,0.7129463092041961,0.7038616110523164,0.6957598823305449,0.7129463092041961,316,235,64.37737602790197
7,34,0.7129463092041961,0.7052460864999548,0.6965577854319007,0.7129463092041961,316,265,72.67092316548029
8,31,0.7129463092041961,0.7069829563329065,0.6998825431747545,0.7129463092041961,316,288,78.87490584055583
9,36,0.7129463092041961,0.7069639326100734,0.6956718737112741,0.7129463092041961,316,313,85.81835773785909
10,34,0.7129463092041961,0.7077972317853378,0.7017201904424544,0.7129463092041961,316,335,91.94506048758825
11,31,0.7129463092041961,0.7093611530783617,0.7005842425167531,0.7129463092041961,316,353,96.93821658293406
12,34,0.7129463092041961,0.7093908887045935,0.7028557761673966,0.7129463092041961,316,371,101.93245516618093
13,39,0.7129463092041961,0.7100438137106887,0.6988312805704804,0.7129463092041961,316,384,105.52506917317709
14,37,0.7129463092041961,0.7114374491580314,0.6999254366819921,0.7129463092041961,316,391,107.43314799467723
15,36,0.7129463092041961,0.7116948393154872,0.7018848201013576,0.7129463092041961,316,397,109.09675687948862
16,34,0.7129463092041961,0.7115484022931173,0.7004724824186859,0.7129463092041961,316,403,110.72849581638972
17,37,0.7129463092041961,0.7100830138106787,0.6985868957715494,0.7129463092041961,316,414,113.75339705546698
18,35,0.7129463092041961,0.7118572877250877,0.7029468004378249,0.7129463092041961,316,416,114.30988281567892
19,27,0.7129463092041961,0.7127815326228709,0.7063552459511881,0.7129463092041961,316,418,114.85864054361979
20,34,0.7129463092041961,0.7124594423858573,0.7018848201013576,0.7129463092041961,316,421,115.68034873406093
21,31,0.7129463092041961,0.7116783759045238,0.7032042665246142,0.7129463092041961,316,428,117.58778471151987
22,32,0.7129463092041961,0.7124806268080339,0.7030630572055905,0.7129463092041961,316,431,118.41909507910411
23,34,0.7129463092041961,0.7113944419123716,0.7025529843576841,0.7129463092041961,316,439,120.6120720744133
24,36,0.7129463092041961,0.7113813252885104,0.7004055514422535,0.7129463092041961,316,446,122.54186816215515
25,32,0.7129463092041961,0.7119525513912072,0.7017392564164245,0.7129463092041961,316,451,123.9020577232043
26,34,0.7129463092041961,0.7116930245045073,0.7018561940970768,0.7129463092041961,316,457,125.54392147461573
27,34,0.7129463092041961,0.7119319737136254,0.7001822046142383,0.7129463092041961,316,461,126.64189260403315
28,29,0.7129463092041961,0.712711566639166,0.7035566066029917,0.7129463092041961,316,463,127.18748552799225
29,39,0.7129463092041961,0.7122588556299674,0.7027813756700175,0.7129463092041961,316,467,128.29464437564215
30,35,0.7129463092041961,0.7127200063088802,0.7038941933915596,0.7129463092041961,316,469,128.84843867619833
