rank,descriptor
1,piPC3
2,nS
3,BalabanJ
4,MWC05
5,MDEC-23
6,fMF
7,nRing
8,ETA_beta_ns
9,AXp-1d
10,ATS1dv
11,SMR_VSA7
12,TpiPC10
13,ETA_epsilon_3
14,VE3_A
15,AMID
16,ATS2dv
17,GATS1i
18,SpMAD_Dt
19,fragCpx
20,naRing
21,nC
22,AATS2d
23,IC5
24,AATS1d
25,ETA_eta_F
26,ETA_eta_RL
27,AATS2i
28,AATS8d
29,ABCGG
30,C2SP2
31,AETA_beta
32,LogEE_Dt
33,ETA_shape_y
34,NaaCH
35,TMPC10
36,SLogP
37,n6aRing
38,AXp-2d
39,WPol
40,AXp-0dv
41,NaasC
42,C3SP2
43,AATS5d
44,FilterItLogS
45,TSRW10
46,RotRatio
47,ATS8dv
48,ETA_dEpsilon_B
49,AATS7d
50,SpMAD_A
51,ATS0dv
52,AATS2p
53,ATS1s
54,AETA_eta_F
55,AATS6d
56,Mv
57,AXp-2dv
58,n6Ring
59,BCUTm-1l
60,VE2_A
61,AATS3d
62,ATS7dv
63,AMID_C
64,nBase
65,AXp-3d
66,ATS4dv
67,ETA_shape_p
68,GATS1p
69,Sm
70,AATS4d
71,ZMIC1
72,MDEC-33
73,SpMAD_D
74,ATSC1v
75,Xpc-6d
76,ATS6dv
77,Xch-7d
78,VE1_A
79,AXp-4d
80,IC3
81,Mp
82,AATS5v
83,SaasC
84,ATS5dv
85,AATS1p
86,GGI10
87,AXp-6dv
88,Mi
89,Xch-6d
90,AETA_eta_FL
91,Xpc-4d
92,AATS8dv
93,ATS8d
94,AATS3v
95,AXp-7d
96,AATS3i
97,AATS5p
98,AETA_eta_R
99,AATS8v
100,AXp-5d
101,GGI9
102,AATS4v
103,ATSC3d
104,SMR_VSA6
105,GATS1d
106,GGI2
107,GATS1dv
108,GGI8
109,CIC5
110,AXp-6d
111,Radius
112,AATS6v
113,AATS2dv
114,VR3_A
115,ATS8Z
116,AATS5i
117,GATS1s
118,MIC5
119,ATS4Z
120,AATS3p
121,nHRing
122,PEOE_VSA7
123,AATS4p
124,ATSC0d
125,MDEC-22
126,AATS7dv
127,SlogP_VSA8
128,ATSC0i
129,AATS6p
130,AATS1i
131,AATS7v
132,VSA_EState4
133,GGI4
134,ATS3s
135,EState_VSA7
136,Vabc
137,n5HRing
138,AATS8p
139,nFRing
140,AATS6i
141,MATS8d
142,PEOE_VSA6
143,AATS3dv
144,MAXdO
145,ATSC1p
146,BCUTdv-1l
147,SpMax_A
148,AETA_eta_RL
149,AATSC3d
150,ATSC0dv
151,naHRing
152,ZMIC2
153,AATS4dv
154,C1SP3
155,GATS1are
156,AATSC7d
157,SpDiam_A
158,AATS7p
159,GGI3
160,AATS6dv
161,ATSC3i
162,MAXaaCH
163,SRW09
164,Xp-7dv
165,ATS2s
166,AATS5dv
167,GGI7
168,n9AHRing
169,Xp-2dv
170,AATS4i
171,NaaaC
172,RPCG
173,RNCG
174,AATS7i
175,GATS2d
176,GGI5
177,AATS8i
178,GATS1Z
179,BCUTare-1l
180,GATS4m
181,GATS2are
182,NsCH3
183,IC2
184,GATS5m
185,IC1
186,ATS8s
187,ETA_eta_BR
188,nFaHRing
189,GGI6
190,PEOE_VSA13
191,ATS7s
192,VSA_EState8
193,Xch-6dv
194,ATS4s
195,GATS2dv
196,n9FRing
197,TIC0
198,ATSC8d
199,NaaNH
200,ATSC1i
201,n5AHRing
202,ETA_shape_x
203,C1SP2
204,SlogP_VSA2
205,NaaN
206,BCUTs-1l
207,ATSC1dv
208,GATS2c
209,Xch-7dv
210,GATS2m
211,ATSC4dv
212,JGI1
213,AATSC8m
214,ATS6s
215,n9FaRing
216,n5aRing
217,n6aHRing
218,AATSC8dv
219,AATS1s
220,SMR_VSA9
221,MINdO
222,VSA_EState2
223,GATS5p
224,Xc-4dv
225,n10FRing
226,GATS1se
227,Xch-5d
228,BCUTp-1h
229,AATSC0m
230,ATSC7d
231,AATS4Z
232,Xc-5d
233,Kier2
234,ETA_dEpsilon_D
235,ATS5s
236,AATSC0d
237,Si
238,SlogP_VSA4
239,GATS4dv
240,BIC0
241,ETA_dAlpha_A
242,n10FaRing
243,Xpc-6dv
244,AATS5Z
245,MINaasC
246,ATSC5Z
247,MAXaasC
248,GATS4c
249,CIC0
250,JGT10
251,AATS8m
252,GATS4are
253,MATS5m
254,Mm
255,n9FARing
256,GATS8Z
257,EState_VSA5
258,ATSC4d
259,SlogP_VSA10
260,PEOE_VSA10
261,NtCH
262,BCUTi-1l
263,CIC3
264,SpMAD_Dzp
265,n10FHRing
266,NdCH2
267,nFAHRing
268,Xc-4d
269,ATSC2c
270,GGI1
271,ATSC5dv
272,AETA_eta
273,MATS8Z
274,AATS3Z
275,ATS6se
276,MATS2se
277,NssNH
278,AATSC8p
279,n10FaHRing
280,nN
281,SddssS
282,JGI7
283,ATS0Z
284,JGI6
285,AATS4are
286,ATSC3c
287,EState_VSA3
288,SssssSi
289,GATS8dv
290,ATSC1d
291,ZMIC3
292,ETA_eta_L
293,MATS1s
294,ATSC8Z
295,n6HRing
296,PEOE_VSA2
297,MATS4m
298,SM1_Dzi
299,MIC0
300,AATS7Z
