mcc_rank,feature_selection,number_of_features,feature_reduction_vs_626_percent,threshold,balanced_accuracy,mcc,mcc_difference_from_best,roc_auc,average_precision,precision,recall,specificity,f1_score,training_rows,test_rows,true_negative,false_positive,false_negative,true_positive
1,Full Mordred,626,0.0,0.5,0.8699795659015626,0.7012100138994649,0.0,0.9533105860605936,0.9863344353690724,0.9520448787549765,0.9093423213205428,0.8306168104825823,0.93020377491933,82071,14700,2599,530,1049,10522
2,mRMR,300,52.07667731629393,0.5,0.8706349883039002,0.6986447762229022,0.0025652376765626927,0.9520752128831572,0.9860001200309756,0.9532387190684134,0.9055397113473338,0.8357302652604666,0.9287772016132606,82071,14700,2615,514,1093,10478
3,Genetic Algorithm,316,49.52076677316294,0.5,0.8685927384998019,0.697432656728158,0.0037773571713068943,0.9525316884854932,0.9860866209705916,0.951694761645822,0.9075274392878748,0.829658037711729,0.9290864852908648,82071,14700,2596,533,1070,10501
