model,max_depth,best_iteration,minimum_validation_logloss,training_mcc,validation_mcc,training_validation_mcc_gap,validation_balanced_accuracy
Very shallow,2,9989,0.25168128720181737,0.8429320067340352,0.6905727464245551,0.1523592603094801,0.8683624686967266
Current,6,1548,0.2263281318161622,0.9693144392681816,0.7118086920908316,0.25750574717735,0.8574812004642447
High capacity,12,286,0.2302449451162784,0.9761051369378214,0.6912591213110233,0.2848460156267981,0.8404609470157228
