model,threshold,balanced_accuracy,mcc,roc_auc,average_precision,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive
Mordred mRMR XGBoost - 300 features,0.23,0.8005526010673644,0.6758848249829171,0.9508777216752051,0.9864016216278446,0.9122608765840665,0.9714629534124118,0.6296422487223169,0.9409316072097573,1848,1087,332,11302
Mordred mRMR XGBoost - 300 features,0.24,0.8036987868782652,0.6783760965334419,0.9508777216752051,0.9864016216278446,0.913786124827977,0.9702595839779955,0.637137989778535,0.9411764705882353,1870,1065,346,11288
Mordred mRMR XGBoost - 300 features,0.25,0.8050523358809387,0.6766728770882134,0.9508777216752051,0.9864016216278446,0.9146569224522939,0.9681966649475675,0.64190800681431,0.9406655810263477,1884,1051,370,11264
Mordred mRMR XGBoost - 300 features,0.26,0.8073482851033758,0.6785840959574827,0.9508777216752051,0.9864016216278446,0.9157783383513711,0.9673371153515558,0.6473594548551959,0.9408518998453371,1900,1035,380,11254
Mordred mRMR XGBoost - 300 features,0.27,0.8105390005620019,0.6819950408127765,0.9508777216752051,0.9864016216278446,0.9172852598091198,0.9665635207151453,0.6545144804088586,0.9412798727660822,1921,1014,389,11245
Mordred mRMR XGBoost - 300 features,0.28,0.8145799526090918,0.6860848940737698,0.9508777216752051,0.9864016216278446,0.919224159096489,0.9654461062403301,0.6637137989778535,0.9417683310275438,1948,987,402,11232
Mordred mRMR XGBoost - 300 features,0.29,0.8184489947369793,0.6893533691025491,0.9508777216752051,0.9864016216278446,0.9211498973305955,0.9639848719271102,0.6729131175468483,0.942080725775967,1975,960,419,11215
Mordred mRMR XGBoost - 300 features,0.3,0.8200604086184564,0.6891632934301896,0.9508777216752051,0.9864016216278446,0.9220950341760685,0.9624376826542892,0.6776831345826235,0.9418345459898221,1989,946,437,11197
Mordred mRMR XGBoost - 300 features,0.31,0.823545757763988,0.6918007968462457,0.9508777216752051,0.9864016216278446,0.9238842975206611,0.9608904933814681,0.6862010221465077,0.9420241004466167,2014,921,455,11179
Mordred mRMR XGBoost - 300 features,0.32,0.8257096702111739,0.692107899535393,0.9508777216752051,0.9864016216278446,0.9251305861868834,0.9590854392298436,0.6923339011925043,0.9418020679468242,2032,903,476,11158
Mordred mRMR XGBoost - 300 features,0.33,0.8267240558792167,0.6909005298681445,0.9508777216752051,0.9864016216278446,0.9258520365752286,0.9573663400378202,0.6960817717206133,0.9413455037187288,2043,892,496,11138
