threshold,balanced_accuracy,mcc,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive
0.2,0.7792045227244706,0.6575110697967085,0.9022747087263217,0.9785112600997078,0.5798977853492334,0.9388478825615438,1702,1233,250,11384
0.21000000000000002,0.785882139496553,0.6635984415892409,0.905331102079847,0.9765342960288809,0.5952299829642249,0.9395856593474755,1747,1188,273,11361
0.22000000000000003,0.7906443956927047,0.6673833568089798,0.9075704225352113,0.9748151968368575,0.606473594548552,0.9399917115623705,1780,1155,293,11341
0.23000000000000004,0.7965546265000751,0.6721439987186612,0.9103781174577634,0.9726663228468283,0.620442930153322,0.9404920212765957,1821,1114,318,11316
0.24000000000000005,0.8018264037821354,0.6762031230232927,0.9129274799902983,0.9706034038164002,0.6330494037478706,0.9408823897012873,1858,1077,342,11292
0.25000000000000006,0.8063307950994838,0.6788941937956614,0.9151909017059301,0.9683685748667699,0.6442930153321976,0.9410290678249248,1891,1044,368,11266
0.26000000000000006,0.8103256653309237,0.681526521337404,0.9172036870870381,0.9664775657555441,0.6541737649063032,0.9411961662411585,1920,1015,390,11244
0.2700000000000001,0.815213749630628,0.6851212574313628,0.9196655463562587,0.9643286917655148,0.666098807495741,0.9414677128351445,1955,980,415,11219
0.2800000000000001,0.8187803972319867,0.6864071360331053,0.9216009223420901,0.9619219528966821,0.6756388415672913,0.9413298565840938,1983,952,443,11191
0.2900000000000001,0.8206848926324446,0.6849119324599388,0.9228479285537088,0.9592573491490459,0.6821124361158433,0.9407004678214692,2002,933,474,11160
0.3000000000000001,0.8244617711290323,0.6857971628735922,0.9250020786563565,0.956248925563005,0.6926746166950596,0.9403660031275094,2033,902,509,11125
0.3100000000000001,0.8276447257480352,0.6867243241170945,0.926829268292683,0.9537562317345711,0.7015332197614992,0.9400999745827332,2059,876,538,11096
0.3200000000000001,0.8305698154882344,0.6866100768427658,0.9286373940055411,0.9507478081485302,0.7103918228279387,0.939562539817371,2085,850,573,11061
0.3300000000000001,0.8337972997549625,0.6884276572786248,0.930450177035913,0.9486848891181021,0.7189097103918228,0.9394790602655771,2110,825,597,11037
0.34000000000000014,0.8373178655406713,0.6891848480370576,0.9325985587113184,0.9455045556128588,0.7291311754684838,0.9390072132826839,2140,795,634,11000
0.35000000000000014,0.8404148652000729,0.6901446210525192,0.9344862838643722,0.9428399518652226,0.7379897785349233,0.938644531918535,2166,769,665,10969
0.36000000000000015,0.8438510281941054,0.6912494153451777,0.9366112729141682,0.9398315282791817,0.747870528109029,0.9382186373777244,2195,740,700,10934
0.37000000000000016,0.8461806418887952,0.6910444338356949,0.9382046647732163,0.9369950146123431,0.7553662691652471,0.9375994495333936,2217,718,733,10901
0.38000000000000017,0.8486837176706118,0.6920482342748188,0.9397736109911,0.9348461406223139,0.7625212947189097,0.9373033998362563,2238,697,758,10876
0.3900000000000002,0.8516072552428865,0.6922656082586006,0.9417745719996524,0.9314938971978683,0.7717206132879046,0.9366060239401928,2265,670,797,10837
0.4000000000000002,0.8544971283429085,0.6948943852346628,0.9434176111595467,0.9301186178442497,0.7788756388415673,0.9367209141274239,2286,649,813,10821
0.4100000000000002,0.8562266094883146,0.6931203596554909,0.9449412589864984,0.9264225545813993,0.78603066439523,0.9355902777777778,2307,628,856,10778
0.4200000000000002,0.8565502511436989,0.6893068447558757,0.9458102035421623,0.9226405363589479,0.7904599659284497,0.9340817125701606,2320,615,900,10734
0.4300000000000002,0.8587493802310622,0.6887859398695129,0.947545631756158,0.9192023379749011,0.7982964224872232,0.9331588132635253,2343,592,940,10694
0.4400000000000002,0.8589870669268451,0.6849238619764915,0.948427897033936,0.9152484098332474,0.802725724020443,0.9315428021521368,2356,579,986,10648
0.45000000000000023,0.8587152325367198,0.6807901614181154,0.9489978525411596,0.9116383015299983,0.8057921635434412,0.9299430074528715,2365,570,1028,10606
0.46000000000000024,0.8594670968221851,0.6786293197594137,0.9500179791441927,0.9083720130651538,0.8105621805792164,0.9287283592582828,2379,556,1066,10568
0.47000000000000025,0.8609449217604864,0.6780530354733265,0.9513274336283186,0.9055354993983152,0.8163543441226576,0.9278668310727497,2396,539,1099,10535
0.48000000000000026,0.8628064396811437,0.6781945506629213,0.9528259094620339,0.9027849406910778,0.8228279386712095,0.9271306880875667,2415,520,1131,10503
0.49000000000000027,0.8639803179249916,0.6761086396697978,0.9542716319824753,0.8986591026302218,0.8293015332197615,0.9256308100929614,2434,501,1179,10455
0.5000000000000002,0.8648150328342088,0.6739494024868959,0.9554882525697503,0.8948770844077704,0.8347529812606473,0.9241899689303151,2450,485,1223,10411
0.5100000000000002,0.8665890436273402,0.673737718012149,0.9570954050562834,0.8916107959429259,0.8415672913117547,0.9231933072267711,2470,465,1261,10373
0.5200000000000002,0.8677230487272369,0.6724310316435389,0.9584415584415584,0.8880866425992779,0.8473594548551959,0.9219237976264835,2487,448,1302,10332
0.5300000000000002,0.8677013183762918,0.6684387840215236,0.9594771241830066,0.8832731648616126,0.852129471890971,0.9197994987468672,2501,434,1358,10276
0.5400000000000003,0.8687478163486626,0.6667924951505548,0.960920620009394,0.8792332817603575,0.8582623509369677,0.9182638358992773,2519,416,1405,10229
0.5500000000000003,0.8687276381656421,0.6633296616407083,0.9619092627599244,0.8747636238610967,0.8626916524701874,0.9162690195372287,2532,403,1457,10177
0.5600000000000003,0.8696943898501104,0.6626585677229049,0.9630684515332764,0.8719271101942582,0.8674616695059625,0.9152343573780846,2546,389,1490,10144
0.5700000000000003,0.8704353889601031,0.6596740034524307,0.964771204288723,0.866254082860581,0.8746166950596252,0.9128623188405797,2567,368,1556,10078
0.5800000000000003,0.8703323601533308,0.6567729040206103,0.9656367311579556,0.8623001547189273,0.8783645655877342,0.91104754120692,2578,357,1602,10032
0.5900000000000003,0.8703090776344609,0.6532803432567865,0.9668411867364747,0.8571428571428571,0.8834752981260647,0.9086932750136687,2593,342,1662,9972
0.6000000000000003,0.8719557081561153,0.6536863966756126,0.96851238058101,0.8539625236376139,0.8899488926746167,0.907637493148182,2612,323,1699,9935
0.6100000000000003,0.871427561055111,0.6505075122218905,0.9691358024691358,0.8501805054151624,0.8926746166950597,0.9057692307692308,2620,315,1743,9891
0.6200000000000003,0.8715792927912929,0.6482111500541498,0.9702316412025629,0.8460546673543063,0.8971039182282794,0.9038982506083842,2633,302,1791,9843
0.6300000000000003,0.8711769737938411,0.6451129403034196,0.9710489787824708,0.8418428743338491,0.9005110732538331,0.901841620626151,2643,292,1840,9794
0.6400000000000003,0.8716233392169284,0.642986159647028,0.9725329604474631,0.8369434416365824,0.9063032367972743,0.8996581354522776,2660,275,1897,9737
0.6500000000000004,0.8713929301386789,0.6405061550630559,0.9733855578989655,0.8330754684545298,0.909710391822828,0.8977814830253347,2670,265,1942,9692
0.6600000000000004,0.8702154643368919,0.6354963188126177,0.9742784810126582,0.8269726663228468,0.913458262350937,0.894602259519271,2681,254,2013,9621
0.6700000000000004,0.8686972830325496,0.6301226458897388,0.9749872383869321,0.8208698641911638,0.9165247018739353,0.8913155070231928,2690,245,2084,9550
0.6800000000000004,0.8666203944907995,0.6235250276667169,0.9756751185322614,0.8136496475846656,0.9195911413969335,0.8873265841769779,2699,236,2168,9466
0.6900000000000004,0.8646294609086509,0.6173234628875885,0.9763812298408074,0.8066013408973698,0.9226575809199319,0.8834078606730995,2708,227,2250,9384
0.7000000000000004,0.8630698542924325,0.6124516581778693,0.9770319874147876,0.8007564036444903,0.9253833049403748,0.88015494354953,2716,219,2318,9316
0.7100000000000004,0.8615470164843162,0.6072408976048128,0.9780720338983051,0.7936221419975933,0.9294718909710392,0.8762456107051343,2728,207,2401,9233
0.7200000000000004,0.8585292798907274,0.5995707642361985,0.9784796573875802,0.7855423757950833,0.9315161839863714,0.8714599027367217,2734,201,2495,9139
0.7300000000000004,0.8569696732745091,0.5950972352941428,0.9791666666666666,0.7796974385422039,0.9342419080068143,0.8681213513254857,2742,193,2563,9071
0.7400000000000004,0.8548927847327592,0.5894825604327728,0.9799367571693381,0.7724772219357057,0.9373083475298126,0.8639269406392694,2751,184,2647,8987
0.7500000000000004,0.8521298086821245,0.5826520355638102,0.9805889489357009,0.7642255458139935,0.9400340715502555,0.8589923192116323,2759,176,2743,8891
