feature_selection,number_of_features,best_iteration,training_mcc,validation_mcc,training_validation_mcc_gap,training_balanced_accuracy,validation_balanced_accuracy
Full Mordred,626,999,0.9469197586489978,0.7027813756700175,0.24413838297898027,0.9871177270474866,0.8599055989039938
mRMR,300,999,0.936521994004021,0.6993623057956049,0.23715968820841615,0.9844107136681898,0.8607817391250868
Genetic Algorithm,316,999,0.9396369092560315,0.7129463092041961,0.2266906000518354,0.9850520839586456,0.8652804049928263
