model,selection_metric,threshold,balanced_accuracy,mcc,roc_auc,average_precision,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive
Mordred XGBoost baseline - 626 features,Balanced accuracy,0.77,0.8808909531746081,0.6658651630040953,0.9520174229385233,0.9868584696651257,0.9739634505796817,0.8520715145263882,0.909710391822828,0.9089492022739776,2670,265,1721,9913
Mordred XGBoost baseline - 626 features,MCC,0.5,0.8599055989039938,0.7027813756700175,0.9520174229385233,0.9868584696651257,0.9460522864387514,0.9300326628846485,0.789778534923339,0.9379740800138703,2318,617,814,10820
Mordred mRMR XGBoost - 300 features,Balanced accuracy,0.7,0.8800525482057964,0.6795734849741822,0.9508777216752051,0.9864016216278446,0.9681935053804399,0.8739040742650851,0.8862010221465076,0.918635644906257,2601,334,1467,10167
Mordred mRMR XGBoost - 300 features,MCC,0.45,0.8535060251937354,0.7018798604579299,0.9508777216752051,0.9864016216278446,0.9416897028334485,0.9369950146123431,0.7700170357751278,0.9393364928909953,2260,675,733,10901
