index,group,pct_error,AETA_eta_RL,ATS4Z,AMID_C,AATS4Z,nRing,RotRatio,fragCpx,AETA_beta,AETA_beta_s,ETA_dPsi_A
54866,Best,7.797418948030099e-05,0.48495614070890997,1501.0,1.5904564744805123,14.715686274509803,3,0.125,114.05,1.2045454545454546,0.6363636363636364,0.14230882352941165
55757,Best,0.0002782194933388382,0.4869447160750442,1594.0,1.4720406461767437,13.860869565217392,4,0.1111111111111111,177.07,1.25,0.6875,0.1513956594323871
49330,Best,0.0005443266709335148,0.4798414552062695,2154.0,1.5381004905271187,15.169014084507042,3,0.1,144.07,1.2142857142857142,0.6428571428571429,0.16013259668508262
69647,Worst,38.98262405395508,0.48524121172540935,1519.0,1.6671110066938801,15.343434343434344,3,0.18518518518518517,129.05,1.38,0.6,0.10251351351351323
77535,Worst,36.94398498535156,0.4924565148041271,1787.0,1.7376250638575153,15.14406779661017,4,0.038461538461538464,170.04,1.326086956521739,0.6521739130434783,0.10329889298892958
73069,Worst,30.720651626586914,0.48881909979197674,1547.0,1.6243585583159708,13.452173913043477,4,0.04,163.05,1.0795454545454546,0.6704545454545454,0.14230882352941154
