feature_selection,number_of_features,fixed_1000_test_mcc,fixed_1000_test_balanced_accuracy,fixed_1000_test_roc_auc,selected_iteration,number_of_trees,test_mcc,test_balanced_accuracy,test_roc_auc,mcc_change,balanced_accuracy_change,roc_auc_change
Full Mordred,626,0.7012100138994649,0.8699795659015626,0.9533105860605936,1429,1430,0.7086527074724,0.8683972718187507,0.9541131815885466,0.007442693572935033,-0.0015822940828118526,0.0008025955279530317
mRMR,300,0.6986447762229022,0.8706349883039002,0.9520752128831572,1423,1424,0.7027398578860165,0.8673552662029989,0.9524348113647096,0.004095081663114231,-0.0032797221009013278,0.0003595984815524256
Genetic Algorithm,316,0.697432656728158,0.8685927384998019,0.9525316884854932,1548,1549,0.7101941668110535,0.8678062316169967,0.9534391985518064,0.0127615100828955,-0.000786506882805238,0.0009075100663131774
