model,number_of_features,threshold,balanced_accuracy,mcc,roc_auc,average_precision,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive,best_iteration
Mordred mRMR XGBoost top 300,300,0.5,0.8607817391250868,0.6993623057956049,0.9508777216752051,0.9864016216278446,0.9472434713795832,0.9259927797833934,0.7955706984667802,0.9364975876907028,2335,600,861,10773,999
Mordred mRMR XGBoost top 250,250,0.5,0.8588327140769038,0.6990713489990344,0.9504462336352447,0.9862926859070051,0.9458701935709907,0.9282276087330239,0.7894378194207836,0.9369658583141729,2317,618,835,10799,999
Mordred mRMR XGBoost top 200,200,0.5,0.858046702097096,0.692972004915307,0.9494024885644761,0.9860555598040242,0.9462980896205652,0.9239298607529655,0.7921635434412265,0.9349802113686774,2325,610,885,10749,998
Mordred mRMR XGBoost top 100,100,0.5,0.8574817861879898,0.6893515309987652,0.9453622979582549,0.984796809560085,0.9464947907469539,0.9214371669245316,0.793526405451448,0.9337979094076655,2329,606,914,10720,999
Mordred mRMR XGBoost top 80,80,0.5,0.8566942220402574,0.6831501781573153,0.9442762929192734,0.984386762589029,0.9469945840362248,0.9167955991060684,0.7965928449744464,0.9316504345547452,2338,597,968,10666,999
Mordred mRMR XGBoost top 150,150,0.5,0.8566056459668967,0.692595502518769,0.9477905328885347,0.9855634200562543,0.9453028972783143,0.9254770500257865,0.7877342419080068,0.9352849200833913,2312,623,867,10767,999
Mordred mRMR XGBoost top 60,60,0.5,0.8528050017293494,0.6741943688392886,0.9412874325063207,0.9834774761407254,0.9456502401707881,0.9137871755200275,0.7918228279386712,0.9294457072914846,2324,611,1003,10631,999
Mordred mRMR XGBoost top 20,20,0.5,0.8470765795724744,0.6516819182904382,0.9297397277966039,0.9795768147005903,0.9455235341945976,0.8996046071858346,0.7945485519591141,0.921992688190988,2332,603,1168,10466,999
Mordred mRMR XGBoost top 40,40,0.5,0.8470677497870162,0.6588201759781861,0.9348761882504402,0.9813454484605417,0.9440865986759707,0.9070826886711363,0.787052810902896,0.9252147992284763,2310,625,1081,10553,998
