generation,evaluations,best_mcc,mean_mcc,minimum_mcc,maximum_mcc,selected_descriptors,unique_subsets_evaluated,elapsed_minutes
0,40,0.7066255002993858,0.6959703057973895,0.6865201335679272,0.7066255002993858,301,40,9.505242975552877
1,33,0.7112940341959554,0.6993457000264104,0.6889189513364262,0.7112940341959554,332,71,16.899509930610655
2,33,0.7112940341959554,0.7006586063734032,0.6934410148068504,0.7112940341959554,332,98,23.22544085184733
3,37,0.7112940341959554,0.7022024223884072,0.6941873879336112,0.7112940341959554,332,128,30.28979272842407
4,34,0.7116206795637374,0.7028139873007868,0.6966304231322714,0.7116206795637374,332,162,38.41604065100352
5,32,0.7116206795637374,0.7050155344307852,0.6988762335863877,0.7116206795637374,332,187,44.4461061278979
6,37,0.7116206795637374,0.7053760941962429,0.6995983083670848,0.7116206795637374,332,214,50.902589134375255
7,33,0.7116206795637374,0.7060545448625103,0.6990503542102511,0.7116206795637374,332,238,56.64829674959183
8,29,0.7116206795637374,0.7075783388158358,0.7005290008187377,0.7116206795637374,332,259,61.71881569226583
9,34,0.7125557072848756,0.7080773766030278,0.7022418049481265,0.7125557072848756,326,282,67.34101001818975
10,30,0.7125557072848756,0.7083442938282067,0.7022927808508318,0.7125557072848756,326,301,72.02250823974609
11,36,0.7125557072848756,0.7084455768539082,0.7005260941344982,0.7125557072848756,326,322,77.21505612532297
12,37,0.7156952310160075,0.7085104105065149,0.7011308266215097,0.7156952310160075,331,349,83.81801342566808
13,33,0.7156952310160075,0.7096321767553689,0.7035653025573172,0.7156952310160075,331,370,88.9735848347346
14,35,0.7156952310160075,0.7101258010812952,0.7024507283090888,0.7156952310160075,331,390,93.88346810738246
15,37,0.7156952310160075,0.7115883488337769,0.7031183680728414,0.7156952310160075,331,403,97.07996692260106
16,33,0.7156952310160075,0.7121783427283009,0.7031183680728414,0.7156952310160075,331,419,100.98897506395976
17,38,0.7156952310160075,0.714800630268267,0.709541883992832,0.7156952310160075,331,424,102.21471012830735
18,38,0.7156952310160075,0.7147686422621643,0.70440517762741,0.7156952310160075,331,429,103.44311701059341
19,34,0.7156952310160075,0.7153856588915403,0.7098614415642102,0.7156952310160075,331,433,104.43315294186274
20,36,0.7156952310160075,0.7146255639987278,0.7052983206635614,0.7156952310160075,331,440,106.1534840464592
21,32,0.7156952310160075,0.7151264704276548,0.7092870701582029,0.7156952310160075,331,445,107.38706747293472
22,32,0.7156952310160075,0.7155540442114425,0.7100477588334079,0.7156952310160075,331,447,107.87951786120733
23,34,0.7156952310160075,0.7155494431985415,0.7105300446438894,0.7156952310160075,331,450,108.630639620622
24,35,0.7156952310160075,0.7154577227227785,0.7061948992868449,0.7156952310160075,331,452,109.12592473030091
25,32,0.7156952310160075,0.7149895910455026,0.7081869055120521,0.7156952310160075,331,458,110.59894606669744
26,31,0.7156952310160075,0.7144307199998371,0.7049938945129005,0.7156952310160075,331,464,112.34329812526703
27,35,0.7156952310160075,0.7150542870842387,0.7068762271126072,0.7156952310160075,331,468,113.50346364577611
28,34,0.7156952310160075,0.714405648726,0.7049685337368402,0.7156952310160075,331,474,115.22459882100424
29,30,0.7156952310160075,0.7154455194508721,0.7073722438552857,0.7156952310160075,331,477,116.0943427880605
30,33,0.7156952310160075,0.7156952310160075,0.7156952310160075,0.7156952310160075,331,478,116.38602377573649
