generation,evaluations,best_mcc,mean_mcc,minimum_mcc,maximum_mcc,selected_descriptors,unique_subsets_evaluated,elapsed_minutes
0,40,0.7037705497560871,0.696398245649405,0.6857357774984791,0.7037705497560871,337,40,10.922974534829457
1,35,0.7064813520370284,0.6986299724717566,0.6901825820352432,0.7064813520370284,319,72,19.73600385983785
2,34,0.7095338207891138,0.7007316411997949,0.6950534421488169,0.7095338207891138,330,104,28.67940785884857
3,36,0.7095338207891138,0.7020305309903325,0.6936983377398868,0.7095338207891138,330,140,38.771590447425844
4,32,0.7095338207891138,0.702332215663886,0.6926376698369986,0.7095338207891138,330,165,45.8328438838323
5,38,0.7095338207891138,0.7029340903723253,0.6969747487067715,0.7095338207891138,330,196,54.583684082825975
6,35,0.7095338207891138,0.702432386289405,0.6956455613372955,0.7095338207891138,330,227,63.26706410249074
7,34,0.7095338207891138,0.7025323060412342,0.6971050774784495,0.7095338207891138,330,258,71.94047665198644
8,35,0.7095338207891138,0.7035596131343604,0.6965776541613847,0.7095338207891138,330,288,80.3928348938624
9,34,0.7095338207891138,0.7040923447191552,0.6964455307713369,0.7095338207891138,330,315,87.96663965384165
10,31,0.7095338207891138,0.7047277636783644,0.6972984941880027,0.7095338207891138,330,344,96.14049166838328
11,38,0.7099681191286743,0.7042329328529466,0.6970466617663631,0.7099681191286743,306,373,104.3697347998619
12,32,0.7099681191286743,0.7054336026978852,0.6970029409496621,0.7099681191286743,306,396,110.88746080795924
13,37,0.7112940341959554,0.7050743958184811,0.6963917846831932,0.7112940341959554,304,424,118.7996899286906
14,28,0.7112940341959554,0.7055736783724587,0.6976410551171079,0.7112940341959554,304,444,124.41234850088755
15,32,0.7112940341959554,0.7059566969848265,0.6997618395743349,0.7112940341959554,304,471,131.94184539715448
16,32,0.7112940341959554,0.7052662097816087,0.6964675075823332,0.7112940341959554,304,497,139.1276409626007
17,32,0.7112940341959554,0.7065537510038064,0.7006798361351672,0.7112940341959554,304,518,144.9429124991099
18,32,0.7112940341959554,0.7068700099283056,0.6989951023040942,0.7112940341959554,304,537,150.1049150665601
19,30,0.7112940341959554,0.7099278714084053,0.7035347993052892,0.7112940341959554,304,541,151.2050403078397
20,38,0.7112940341959554,0.7110239436945314,0.7047429495134678,0.7112940341959554,304,544,152.0081082423528
21,32,0.7122021117283504,0.7108595774355122,0.7022003171226352,0.7122021117283504,303,549,153.3485838015874
22,22,0.7122021117283504,0.7112872149852316,0.7072068377178011,0.7122021117283504,303,552,154.15601015488306
23,28,0.7122021117283504,0.7111640424812602,0.703738883130623,0.7122021117283504,303,557,155.46642500559489
24,39,0.7122021117283504,0.7115804895229784,0.7056598086442272,0.7122021117283504,303,562,156.7766465743383
25,34,0.7122265532738924,0.7120743979726202,0.7070691199535988,0.7122265532738924,301,565,157.56532342433928
26,26,0.7122265532738924,0.7114273988188705,0.7048981877553997,0.7122265532738924,301,572,159.41122610569
27,38,0.7122265532738924,0.7114533111846496,0.703825786268641,0.7122265532738924,301,577,160.73134898344676
28,34,0.7122265532738924,0.7109764255639278,0.7021878568830326,0.7122265532738924,301,584,162.5399581472079
29,35,0.7122265532738924,0.709838225624399,0.7043962480579031,0.7122265532738924,301,589,163.85510598421098
30,37,0.7122265532738924,0.7101705098825668,0.7032182344661084,0.7122265532738924,301,597,165.98382290204367
