generation,evaluations,best_mcc,mean_mcc,minimum_mcc,maximum_mcc,selected_descriptors,unique_subsets_evaluated,elapsed_minutes
0,40,0.7047528218302349,0.6975162839294942,0.6887166585862025,0.7047528218302349,309,40,9.605392881234486
1,36,0.7057025699890803,0.6998907998410406,0.6944329192084552,0.7057025699890803,308,73,17.45296488205592
2,30,0.7057025699890803,0.7010269449674043,0.6956031801586937,0.7057025699890803,308,100,23.766129899024964
3,34,0.7103734022211942,0.7007981545884194,0.6950459791822224,0.7103734022211942,313,134,31.786878029505413
4,28,0.7103734022211942,0.7023840244221896,0.6961621482961893,0.7103734022211942,313,162,38.48265007734299
5,33,0.7103734022211942,0.7023403431690218,0.6956404223785413,0.7103734022211942,313,190,45.13738743066788
6,35,0.7105277944951464,0.7026790603565685,0.6952467494386677,0.7105277944951464,334,222,52.85822339057923
7,36,0.7105277944951464,0.704140671758239,0.6984040609391959,0.7105277944951464,334,249,59.34279995759328
8,34,0.7105277944951464,0.7050405735903487,0.697877758024335,0.7105277944951464,334,272,64.9580918431282
9,34,0.7105277944951464,0.7054505526796226,0.6963524132162657,0.7105277944951464,334,292,69.8488350947698
10,31,0.7105277944951464,0.7065558006310061,0.6983055298575077,0.7105277944951464,334,308,73.79043020009995
11,37,0.7105277944951464,0.7052323199541588,0.6965933397381836,0.7105277944951464,334,334,80.20338745514552
12,30,0.7105277944951464,0.7068822860836217,0.6984804827226682,0.7105277944951464,334,350,84.14406137863794
13,35,0.7105277944951464,0.706500848228733,0.6973598544624604,0.7105277944951464,334,369,88.85884926319122
14,35,0.7105277944951464,0.7071390269718079,0.6986245828815765,0.7105277944951464,334,385,92.82587282260259
15,39,0.7105277944951464,0.707432329103745,0.6982521474464144,0.7105277944951464,334,399,96.288596423467
16,38,0.7105277944951464,0.7089354293410903,0.7004724824186859,0.7105277944951464,334,408,98.53655119736989
17,30,0.7105277944951464,0.7092444152446927,0.6993733434209097,0.7105277944951464,334,417,100.77455166578292
18,29,0.7114592848128841,0.7100629163160929,0.7030630572055905,0.7114592848128841,335,421,101.78816132545471
19,32,0.7114592848128841,0.7103855484909365,0.7045527746226591,0.7114592848128841,335,425,102.79602727095286
20,31,0.7114592848128841,0.7098976147855481,0.7032050840328989,0.7114592848128841,335,432,104.55558405717214
21,33,0.7114592848128841,0.7106484359902051,0.7031498298070242,0.7114592848128841,335,436,105.57239025433859
22,33,0.7114592848128841,0.710525806132887,0.7019248292624322,0.7114592848128841,335,442,107.09834402004877
23,34,0.7114592848128841,0.7101070249235797,0.7028672077619674,0.7114592848128841,335,450,109.12568869193395
24,32,0.7114592848128841,0.7107989767312664,0.701547922683085,0.7114592848128841,335,453,109.88184450467428
25,38,0.7114592848128841,0.7103063288126588,0.7038358973797836,0.7114592848128841,335,461,111.89578847487768
26,33,0.7114592848128841,0.7107653680678327,0.7041741491148265,0.7114592848128841,335,466,113.16626242001851
27,33,0.7114592848128841,0.7111216276347556,0.7047105587893191,0.7114592848128841,335,470,114.18166783650716
28,36,0.7114592848128841,0.7105607500302433,0.7049447363433228,0.7114592848128841,335,477,115.96595507065454
29,32,0.7114592848128841,0.7111306274294995,0.7048037405535472,0.7114592848128841,335,480,116.72930634419123
30,27,0.7114592848128841,0.7111479332275047,0.7041295091668224,0.7114592848128841,335,483,117.49921811024348
