generation,evaluations,best_mcc,mean_mcc,minimum_mcc,maximum_mcc,selected_descriptors,unique_subsets_evaluated,elapsed_minutes
0,40,0.7050037660544854,0.6961291115262874,0.6861549163170753,0.7050037660544854,292,40,10.876446568965912
1,33,0.7050037660544854,0.6979153054330618,0.6927958946086193,0.7050037660544854,292,68,18.417882378896078
2,36,0.7060187432087321,0.700128278528442,0.6955575360515512,0.7060187432087321,299,98,26.414233378569286
3,31,0.7060187432087321,0.7011953767261646,0.6942970794329774,0.7060187432087321,299,122,32.845991742610934
4,33,0.7095833319405174,0.7027256656998541,0.6955220384326685,0.7095833319405174,300,142,38.17936782836914
5,35,0.7095833319405174,0.7027166796083649,0.6965157148708596,0.7095833319405174,300,167,44.83787743250529
6,32,0.7113268290859928,0.7038545223766379,0.6966790823328317,0.7113268290859928,299,190,50.92750316460927
7,32,0.7113268290859928,0.7043922797621502,0.69691034639333,0.7113268290859928,299,208,55.71805573701859
8,36,0.7113268290859928,0.7045502716995149,0.6994480245633867,0.7113268290859928,299,229,61.32316770553589
9,35,0.7113268290859928,0.7042958405197417,0.6969400900194402,0.7113268290859928,299,250,66.88964118560155
10,36,0.7113268290859928,0.7047869626804688,0.6982953776686381,0.7113268290859928,299,265,70.89237823883693
11,33,0.7113268290859928,0.7052675600696345,0.7000231411574177,0.7113268290859928,299,283,75.70518399079641
12,34,0.7113268290859928,0.7060594438283329,0.6969177385526293,0.7113268290859928,299,290,77.56611968278885
13,32,0.7113268290859928,0.7062422650502154,0.6997716205146064,0.7113268290859928,299,311,83.16602254311243
14,34,0.7113268290859928,0.7073227251881644,0.6998375939262492,0.7113268290859928,299,329,87.99452410141627
15,31,0.7113268290859928,0.707763182268928,0.6987434698115961,0.7113268290859928,299,346,92.54080163637796
16,35,0.7113268290859928,0.7109663695908159,0.7041166461206031,0.7113268290859928,299,348,93.08046513795853
17,35,0.7113268290859928,0.7106712583319826,0.7021360931170438,0.7113268290859928,299,353,94.4248250802358
18,36,0.7113268290859928,0.7107043310278727,0.703508254615802,0.7113268290859928,299,358,95.74822425047556
19,27,0.7113268290859928,0.7106639714601019,0.7012704898260201,0.7113268290859928,299,362,96.83717549244562
20,34,0.7113268290859928,0.7106199524099569,0.7030630572055905,0.7113268290859928,299,367,98.19478324254354
21,29,0.7113268290859928,0.7101847497925077,0.7003855224679773,0.7113268290859928,299,372,99.52093714078268
22,34,0.7113268290859928,0.7108502933510868,0.7040103980839957,0.7113268290859928,299,376,100.59725353717803
23,29,0.7113268290859928,0.7103661942011636,0.7010623387018808,0.7113268290859928,299,382,102.20642489592234
24,33,0.7113268290859928,0.7106330973789817,0.7017498493096479,0.7113268290859928,299,388,103.84800559282303
25,38,0.7113268290859928,0.7095315669435118,0.7015469211037615,0.7113268290859928,299,399,106.78138808806737
26,33,0.7113268290859928,0.7110864717683836,0.7046390141525497,0.7113268290859928,299,401,107.32231709559758
27,36,0.7113268290859928,0.7110032228888199,0.7038076870574359,0.7113268290859928,299,404,108.13360923528671
28,34,0.7113844294323117,0.7108707292923617,0.7029186690722021,0.7113844294323117,298,409,109.49317880074183
29,32,0.7113844294323117,0.7110515890257287,0.7045889575846559,0.7113844294323117,298,412,110.30496245225271
30,35,0.7113844294323117,0.7104459288949277,0.7017117222228915,0.7113844294323117,298,418,111.92601993878682
