generation,evaluations,best_mcc,mean_mcc,minimum_mcc,maximum_mcc,selected_descriptors,unique_subsets_evaluated,elapsed_minutes
0,40,0.7027548246806088,0.6967502528864704,0.6847955017552645,0.7027548246806088,307,40,9.55451477766037
1,31,0.7047709374311247,0.6997470830793106,0.6920800011972269,0.7047709374311247,311,69,16.417574298381805
2,37,0.7091961647059267,0.6999193811159321,0.6937546372108145,0.7091961647059267,326,104,24.706290396054587
3,30,0.7091961647059267,0.7008102429482795,0.6951958221301296,0.7091961647059267,326,131,31.158001669247945
4,37,0.7091961647059267,0.7012356703771349,0.6953308067425599,0.7091961647059267,326,157,37.514781363805135
5,31,0.7091961647059267,0.7030187973407414,0.6961148613351954,0.7091961647059267,326,180,43.08826822837194
6,34,0.7091961647059267,0.7034154280249691,0.6967947998802921,0.7091961647059267,326,206,49.42425635655721
7,32,0.7117018546326023,0.7047884629078702,0.6952423802659554,0.7117018546326023,317,227,54.559185127417244
8,35,0.7117018546326023,0.7061426670501841,0.6959518405824823,0.7117018546326023,317,246,59.2032476623853
9,40,0.7117018546326023,0.7058915319497615,0.698189849880637,0.7117018546326023,317,264,63.572580556074776
10,37,0.7117018546326023,0.7060786829198662,0.6985796295538013,0.7117018546326023,317,280,67.48571662505468
11,37,0.7117018546326023,0.7073889414929792,0.7005290008187377,0.7117018546326023,317,287,69.19266176223755
12,36,0.7117018546326023,0.708348239177469,0.7005920245641903,0.7117018546326023,317,297,71.632297539711
13,33,0.7117018546326023,0.7089403879542328,0.6972788760085833,0.7117018546326023,317,305,73.57573231856028
14,38,0.7117018546326023,0.7106522018739275,0.6972788760085833,0.7117018546326023,317,309,74.53954038619995
15,36,0.7117018546326023,0.7106598024483016,0.6971374642457783,0.7117018546326023,317,314,75.7462915857633
16,31,0.7117018546326023,0.7110242602408882,0.7020371203521241,0.7117018546326023,317,318,76.72232192357382
17,39,0.7117018546326023,0.7110898055481129,0.702831416188308,0.7117018546326023,317,322,77.69214839140574
18,34,0.7117018546326023,0.7107778362717416,0.7005565007031552,0.7117018546326023,317,327,78.89896340767542
19,31,0.7117018546326023,0.7107697154193034,0.6986800168935711,0.7117018546326023,317,331,79.85436706145605
20,36,0.7117018546326023,0.7103693635266243,0.7006923082508255,0.7117018546326023,317,338,81.54261146386465
21,34,0.7117018546326023,0.7105406814640951,0.7003683310446961,0.7117018546326023,317,343,82.75937628348669
22,31,0.7117018546326023,0.7110599646114693,0.6977486840532152,0.7117018546326023,317,345,83.24397896925608
23,34,0.7117018546326023,0.710779965362014,0.6999510921772895,0.7117018546326023,317,350,84.45373598337173
24,36,0.7117018546326023,0.7108577330961263,0.6967909367098563,0.7117018546326023,317,354,85.43196103572845
25,33,0.7117018546326023,0.710362270892497,0.6977748521715488,0.7117018546326023,317,360,86.8826607743899
26,28,0.7117018546326023,0.7109007543645866,0.6998260478046802,0.7117018546326023,317,364,87.84378063281378
27,33,0.7117018546326023,0.7106881852149962,0.6985796295538013,0.7117018546326023,317,369,89.0474775314331
28,26,0.7117018546326023,0.7113918571278941,0.6993019544442745,0.7117018546326023,317,371,89.53244847853979
29,34,0.7117018546326023,0.7100679372567507,0.7000394720419535,0.7117018546326023,317,378,91.21992540756861
30,28,0.7117018546326023,0.7103204992089406,0.6983227421684842,0.7117018546326023,317,385,92.90352004766464
