split,target,mae,rmse,r2
Training,jnk3_score,0.23552058637142181,0.30948521018935105,0.8546538949012756
Validation,jnk3_score,0.27444860339164734,0.36056584549051235,0.7916251420974731
Test,jnk3_score,0.27944183349609375,0.36779677792559234,0.7968218922615051
Training,gsk3b_score,0.22333353757858276,0.2966410694013496,0.8658322095870972
Validation,gsk3b_score,0.25968652963638306,0.3455074640232397,0.8095353841781616
Test,gsk3b_score,0.2622884511947632,0.34909665749134483,0.8159205913543701
